Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death
-93	2020-01-22	0	0	0	0	0.0	0.0	0.0	0.0					
-92	2020-01-23	0	0	0	0	0.0	0.0	0.0	0.0					
-91	2020-01-24	0	0	0	0	0.0	0.0	0.0	0.0					
-90	2020-01-25	0	0	0	0	0.0	0.0	0.0	0.0					
-89	2020-01-26	0	0	0	0	0.0	0.0	0.0	0.0					
-88	2020-01-27	0	0	0	0	0.0	0.0	0.0	0.0					
-87	2020-01-28	0	0	0	0	0.0	0.0	0.0	0.0					
-86	2020-01-29	0	0	0	0	0.0	0.0	0.0	0.0					
-85	2020-01-30	0	0	0	0	0.0	0.0	0.0	0.0					
-84	2020-01-31	2	0	2	0	0.03	0.0	0.03	0.0					
-83	2020-02-01	2	0	0	0	0.03	0.0	0.0	0.0					
-82	2020-02-02	2	0	0	0	0.03	0.0	0.0	0.0					
-81	2020-02-03	2	0	0	0	0.03	0.0	0.0	0.0					
-80	2020-02-04	2	0	0	0	0.03	0.0	0.0	0.0					
-79	2020-02-05	2	0	0	0	0.03	0.0	0.0	0.0					
-78	2020-02-06	2	0	0	0	0.03	0.0	0.0	0.0					
-77	2020-02-07	3	0	1	0	0.045	0.0	0.015	0.0					
-76	2020-02-08	3	0	0	0	0.045	0.0	0.0	0.0					
-75	2020-02-09	3	0	0	0	0.045	0.0	0.0	0.0					
-74	2020-02-10	8	0	5	0	0.12	0.0	0.075	0.0					
-73	2020-02-11	8	0	0	0	0.12	0.0	0.0	0.0					
-72	2020-02-12	9	0	1	0	0.135	0.0	0.015	0.0					
-71	2020-02-13	9	0	0	0	0.135	0.0	0.0	0.0					
-70	2020-02-14	9	0	0	0	0.135	0.0	0.0	0.0					
-69	2020-02-15	9	0	0	0	0.135	0.0	0.0	0.0					
-68	2020-02-16	9	0	0	0	0.135	0.0	0.0	0.0					
-67	2020-02-17	9	0	0	0	0.135	0.0	0.0	0.0					
-66	2020-02-18	9	0	0	0	0.135	0.0	0.0	0.0					
-65	2020-02-19	9	0	0	0	0.135	0.0	0.0	0.0					
-64	2020-02-20	9	0	0	0	0.135	0.0	0.0	0.0					
-63	2020-02-21	9	0	0	0	0.135	0.0	0.0	0.0					
-62	2020-02-22	9	0	0	0	0.135	0.0	0.0	0.0					
-61	2020-02-23	9	0	0	0	0.135	0.0	0.0	0.0					
-60	2020-02-24	13	0	4	0	0.196	0.0	0.06	0.0					
-59	2020-02-25	13	0	0	0	0.196	0.0	0.0	0.0					
-58	2020-02-26	13	0	0	0	0.196	0.0	0.0	0.0					
-57	2020-02-27	15	0	2	0	0.226	0.0	0.03	0.0					
-56	2020-02-28	20	0	5	0	0.301	0.0	0.075	0.0					
-55	2020-02-29	23	0	3	0	0.346	0.0	0.045	0.0					
-54	2020-03-01	36	0	13	0	0.541	0.0	0.196	0.0					
-53	2020-03-02	40	0	4	0	0.602	0.0	0.06	0.0					
-52	2020-03-03	51	0	11	0	0.767	0.0	0.165	0.0					
-51	2020-03-04	86	0	35	0	1.293	0.0	0.526	0.0					
-50	2020-03-05	116	1	30	1	1.745	0.015	0.451	0.015					
-49	2020-03-06	164	2	48	1	2.467	0.03	0.722	0.015			1.414		0
-48	2020-03-07	207	2	43	0	3.113	0.03	0.647	0.0			1.262		1
-47	2020-03-08	274	3	67	1	4.121	0.045	1.008	0.015			1.324		2
-46	2020-03-09	322	4	48	1	4.843	0.06	0.722	0.015			1.175		3
-45	2020-03-10	384	6	62	2	5.775	0.09	0.932	0.03			1.193		4
-44	2020-03-11	459	8	75	2	6.903	0.12	1.128	0.03			1.195		5
-43	2020-03-12	459	8	0	0	6.903	0.12	0.0	0.0			1.0		6
-42	2020-03-13	802	8	343	0	12.062	0.12	5.159	0.0			1.747		7
-41	2020-03-14	1144	21	342	13	17.206	0.316	5.144	0.196			1.426		8
-40	2020-03-15	1145	21	1	0	17.221	0.316	0.015	0.0			1.001	1.0	9
-39	2020-03-16	1551	56	406	35	23.327	0.842	6.106	0.526			1.355	2.667	10
-38	2020-03-17	1960	56	409	0	29.479	0.842	6.151	0.0			1.264	1.0	11
-37	2020-03-18	2642	72	682	16	39.736	1.083	10.257	0.241			1.348	1.286	12
-36	2020-03-19	2716	138	74	66	40.849	2.076	1.113	0.993			1.028	1.917	13
-35	2020-03-20	4014	178	1298	40	60.371	2.677	19.522	0.602			1.478	1.29	14
-34	2020-03-21	5067	234	1053	56	76.208	3.519	15.837	0.842			1.262	1.315	15
-33	2020-03-22	5745	282	678	48	86.405	4.241	10.197	0.722			1.134	1.205	16
-32	2020-03-23	6726	336	981	54	101.16	5.053	14.754	0.812			1.171	1.191	17
-31	2020-03-24	8164	423	1438	87	122.787	6.362	21.628	1.308			1.214	1.259	18
-30	2020-03-25	9640	466	1476	43	144.986	7.009	22.199	0.647			1.181	1.102	19
-29	2020-03-26	11812	580	2172	114	177.653	8.723	32.667	1.715			1.225	1.245	20
-28	2020-03-27	14745	761	2933	181	221.766	11.446	44.113	2.722			1.248	1.312	21
-27	2020-03-28	17312	1021	2567	260	260.374	15.356	38.608	3.91	3.7	3.0	1.174	1.342	22
-26	2020-03-29	19780	1231	2468	210	297.493	18.514	37.119	3.158	3.9	3.0	1.143	1.206	23
-25	2020-03-30	22453	1411	2673	180	337.695	21.222	40.202	2.707	4.2	3.3	1.135	1.146	24
-24	2020-03-31	25481	1793	3028	382	383.236	26.967	45.541	5.745	4.6	3.3	1.135	1.271	25
-23	2020-04-01	29865	2357	4384	564	449.172	35.449	65.936	8.483	4.8	3.1	1.172	1.315	26
-22	2020-04-02	34173	2926	4308	569	513.965	44.007	64.793	8.558	5.0	3.1	1.144	1.241	27
-21	2020-04-03	38689	3611	4516	685	581.886	54.31	67.921	10.302	5.1	3.1	1.132	1.234	28
-20	2020-04-04	42477	4320	3788	709	638.858	64.973	56.972	10.663	5.4	3.2	1.098	1.196	29
-19	2020-04-05	48436	4943	5959	623	728.482	74.343	89.624	9.37	5.5	3.5	1.14	1.144	30
-18	2020-04-06	52279	5385	3843	442	786.281	80.991	57.799	6.648	6.0	4.2	1.079	1.089	31
-17	2020-04-07	55949	6171	3670	786	841.478	92.812	55.197	11.822	6.8	4.7	1.07	1.146	32
-16	2020-04-08	61474	7111	5525	940	924.574	106.95	83.096	14.138	7.4	5.1	1.099	1.152	33
-15	2020-04-09	65872	7993	4398	882	990.72	120.215	66.146	13.265	8.0	5.4	1.072	1.124	34
-14	2020-04-10	74605	8974	8733	981	1122.065	134.97	131.345	14.754	7.9	5.6	1.133	1.123	35
-13	2020-04-11	79874	9892	5269	918	1201.312	148.777	79.246	13.807	8.1	5.8	1.071	1.102	36
-12	2020-04-12	85206	10629	5332	737	1281.505	159.861	80.194	11.085	8.2	6.3	1.067	1.075	37
-11	2020-04-13	89570	11347	4364	718	1347.14	170.66	65.635	10.799	8.8	7.1	1.051	1.068	38
-10	2020-04-14	94845	12129	5275	782	1426.477	182.421	79.336	11.761	9.8	8.2	1.059	1.069	39
-9	2020-04-15	99483	12894	4638	765	1496.233	193.927	69.756	11.506	11.0	9.2	1.049	1.063	40
-8	2020-04-16	104145	13759	4662	865	1566.35	206.937	70.117	13.01		10.1	1.047	1.067	41
-7	2020-04-17	109769	14607	5624	848	1650.935	219.691	84.585	12.754	13.4	10.8	1.054	1.062	42
-6	2020-04-18	115314	15498	5545	891	1734.332	233.091	83.397	13.401	13.8	11.1	1.051	1.061	43
-5	2020-04-19	121172	16095	5858	597	1822.437	242.07	88.105	8.979	13.9	11.8	1.051	1.039	44
-4	2020-04-20	125856	16550	4684	455	1892.885	248.913	70.448	6.843	14.5	13.3	1.039	1.028	45
-3	2020-04-21	130172	17378	4316	828	1957.798	261.367	64.913	12.453	15.3	14.5	1.034	1.05	46
-2	2020-04-22	134638	18151	4466	773	2024.967	272.993	67.169	11.626	16.4	15.8	1.034	1.044	47
-1	2020-04-23	139246	18791	4608	640	2094.272	282.618	69.305	9.626	17.9	17.0	1.034	1.035	48
0	2020-04-24	144640	19567	5394	776	2175.0	294.0	81.126	11.671	19.0	17.6	1.039	1.041	49
